id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
44382,,"$13,475",Rolex,Datejust 41,126334,,Steel,Steel,2022,,,41 mm,Unworn
2199,"Cartier Tank Française
2465","$3,795",Cartier,Tank Française,2465,,,,2010 (Approximation),Good,Women's watch,25 x 30 mm,
4833,"IWC
Vintage \"Turtle\" Handaufzug Klassik Gold 18k/750","$2,878",IWC,,,,,,Unknown,Very good,,34 mm,
7713,"Seiko Prospex
セイコー プロスペックス ダイバースキューバ トランスオーシャン 自動巻き 時計 メンズ 腕時計 SBEC002 uw-267","$1,478",Seiko,Prospex,,Automatic,Steel,Steel,2019 (Approximation),Very good,Men's watch/Unisex,,
657,"Longines Master Collection
L2.793.4.09.2","$2,397",Longines,Master Collection,L2.793.4.09.2,Automatic,Steel,Leather,2023,New,Men's watch/Unisex,40 mm,
29707,,"$20,302",Rolex,Sea-Dweller Deepsea,136660,,Steel,Steel,2022,,,"44 x 14,5 mm",Unworn
7307,"Audemars Piguet Royal Oak Tourbillon
オーデマ・ピゲ ロイヤルオーク トゥールビヨン エクストラシン26516PT.ZZ.1220PT.01","$365,926",Audemars Piguet,Royal Oak Tourbillon,26516PT.ZZ.1220PT.01,Manual winding,Platinum,,Unknown,Good,Men's watch/Unisex,41 mm,
1943,"Panerai Luminor Due
38mm Steel Case Black Dial Black Crocodile Strap PAM01247 NEW - Warranty: 2023","$7,487",Panerai,Luminor Due,PAM01247,Automatic,Steel,Crocodile skin,Unknown,New,Men's watch/Unisex,38 mm,
13832,,"$26,179",Rolex,Lady-Datejust,279175G,,,,Unknown,,,28 mm,Very good
910,"Breitling Navitimer 1 B01 Chronograph
Men's AB0138241G1A1 Navitimer B01 Chronograph 43","$8,840",Breitling,Navitimer 1 B01 Chronograph,AB0138241G1A1,Automatic,Steel,Steel,2022,New,Men's watch/Unisex,43 mm,
1616,"Hublot Classic Fusion Quartz
titanium 581.nx.1171.rx","$5,942",Hublot,Classic Fusion Quartz,581.NX.1171.RX,Quartz,Titanium,Rubber,2023,New,Women's watch,33 mm,
52417,,"$14,500",Rolex,Datejust 31,278273,,Gold/Steel,Gold/Steel,2022,,,31 x 37 mm,Very good
46490,,"$22,499",Rolex,Yacht-Master II,116680,,Steel,Steel,Unknown,,,44 mm,Very good
5748,"Panerai
 PAM00786 Luminor 8 Days Set 44mm - Limited Edition of 500","$11,005",Panerai,,PAM 00786,,,,2021,Very good,Men's watch/Unisex,44 mm,
16956,"Seiko
セイコー ブライツ アナンタ クロノグラフ 800本限定 SAEH011/6S28-00H0 自動巻き メンズ 中古","$1,332",Seiko,,,,,,Unknown,Fair,Men's watch/Unisex,43 mm,
7823,"A. Lange & Söhne Grand Lange 1
115.021","$36,000",A. Lange & Söhne,Grand Lange 1,115.021,,,,Unknown,Unworn,,42 mm,
12605,"Hublot Classic Fusion Racing Grey
Automatic Rose Gold IN STOCK NEW UNWORN SEALED","$19,900",Hublot,Classic Fusion Racing Grey,542.OX.7081.LR,,,,2022 (Approximation),New,Men's watch/Unisex,42 mm,
2232,"Vacheron Constantin Overseas World Time
7700V/110A-B172","$39,347",Vacheron Constantin,Overseas World Time,7700V/110A-B172,,,,Unknown,Very good,Men's watch/Unisex,43.5 mm,
1803,"Patek Philippe Aquanaut
5167A-001","$52,322",Patek Philippe,Aquanaut,5167A-001,Automatic,Steel,Rubber,Unknown,Fair,Men's watch/Unisex,40 mm,
3079,"Longines Master Collection
42mm","$1,975",Longines,Master Collection,L2.920.4.51.6,,,,2022,New,Men's watch/Unisex,42 mm,
45750,,"$25,640",Rolex,Sky-Dweller,326934,,,,2022,,,42 mm,Very good
7950,"Cartier Panthère
1320 Damen Uhr Stahl Lady Papiere 2003","$3,114",Cartier,Panthère,,,,,2003,Good,,22 mm,
