id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
6498,"Patek Philippe Nautilus
5712G in White Gold New Old Stock Condition from 2017 on Black Crocodile Leather Strap with Grey Dial","$85,800",Patek Philippe,Nautilus,5712G-001,Automatic,N/A,N/A,Unknown,New,N/A,43 x 38 mm,N/A,85800.0
20478,"Omega Seamaster Diver 300 M
オメガ シーマスター ダイバー300M マスタークロノメーター 210.30.42.20.01.001","$3,819",Omega,Seamaster Diver 300 M,210.30.42.20.01.001,Automatic,Steel,Steel,Unknown,Very good,N/A,42 mm,N/A,3819.0
170,"Longines Master Collection
retrograde 41 mm l2.738.4.71.6","$4,006",Longines,Master Collection,L2.738.4.71.6,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,41 mm,N/A,4006.0
4206,"Zenith El Primero Chronomaster
01.0240.410","$5,693",Zenith,El Primero Chronomaster,01.0240.410,N/A,N/A,N/A,2000,Very good,Men's watch/Unisex,40 mm,N/A,5693.0
45357,N/A,"$11,500",Rolex,Sea-Dweller 4000,16600,N/A,N/A,N/A,2008,N/A,N/A,40 mm,Very good,11500.0
1787,"Patek Philippe Calatrava
York","$32,493",Patek Philippe,Calatrava,7200/50G-010,N/A,N/A,N/A,2017,Very good,Women's watch,N/A,N/A,32493.0
6244,"TAG Heuer Grand Carrera
Calibre 36 RS 2 Caliper Chronograph Ti2 CAV5185.FC6237 Refurbished Full Set Occasion","$7,580",TAG Heuer,Grand Carrera,CAV5185.FC6237,Automatic,N/A,N/A,Unknown,Good,N/A,43 mm,N/A,7580.0
28833,"Omega Speedmaster
\"Teutonic\"","$3,420",Omega,Speedmaster,N/A,N/A,N/A,N/A,1984 (Approximation),Very good,Men's watch/Unisex,N/A,N/A,3420.0
12792,"Breitling Colt Automatic
II Automatic Grey Dial","$3,450",Breitling,Colt Automatic,A17313,Automatic,Steel,Steel,2019,Very good,Men's watch/Unisex,41 mm,N/A,3450.0
6533,"Seiko 5 Sports
Gmt SSK003K1",$483,Seiko,5 Sports,SSK003K1,Automatic,Steel,Steel,2022,New,Men's watch/Unisex,42.5 x 46 mm,N/A,483.0
5805,"Richard Mille RM 005
white gold","$105,859",Richard Mille,RM 005,RM005,N/A,N/A,N/A,2006,Very good,Men's watch/Unisex,38 x 45 mm,N/A,105859.0
232,Vacheron Constantin,"$4,141",Vacheron Constantin,N/A,N/A,N/A,N/A,N/A,Unknown,Good,Women's watch,23.5 x 24.1 mm,N/A,4141.0
10778,"Hublot Big Bang Aero Bang
44mm Aero Bang Skeleton Chrono","$10,999",Hublot,Big Bang Aero Bang,311.SX.1170.GR,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,44 mm,N/A,10999.0
4270,"Panerai Luminor 1950 10 Days GMT
パネライ 腕時計 ルミノール 1950 10デイズ GMT PAM00335 セラミック／ラバー／スエード 自動巻き 2021年正規 472 2143200478335","$9,338",Panerai,Luminor 1950 10 Days GMT,PAM00335,Automatic,Ceramic,Leather,2021,Very good,Men's watch/Unisex,44 mm,N/A,9338.0
10227,"Hublot Classic Fusion
38mm Rose Gold - Diamond Bezel - Purple Dia Dial 568.OX.898V.OX.1204",Price on request,Hublot,Classic Fusion,568.OX.898V.OX.1204,N/A,N/A,N/A,Unknown,Unworn,Women's watch,38 mm,N/A,0.0
951,"Oris Big Crown ProPilot Day Date
7698 4164-07 5 22 15fc","$1,521",Oris,Big Crown ProPilot Day Date,01 752 7698 4164-07 5 22 15FC,Automatic,Steel,Textile,2020,Very good,Men's watch/Unisex,45 mm,N/A,1521.0
47162,N/A,"$42,000",Rolex,Sky-Dweller,326238,N/A,Yellow gold,Rubber,2022,N/A,N/A,42 mm,New,42000.0
