id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
7623,"Breitling Chronomat
AB0111 S011B64PA Black Mother Of Pearl Dial Stainless Steel","$4,182",Breitling,Chronomat,,Automatic,Steel,,Unknown,Very good,Men's watch/Unisex,,
19229,"Omega
Classic Quartz","$1,425",Omega,,,,,,Unknown,Very good,Men's watch/Unisex,34 mm,
58543,,"$25,231",Rolex,Daytona,116503,,,,Unknown,,,40 mm,Unworn
65755,,"$73,723",Rolex,Daytona,116509,,White gold,White gold,2006,,,40 mm,Very good
8180,"IWC Yacht Club
Stainless Steel 1811 - W008199","$11,997",IWC,Yacht Club,1811,Automatic,Steel,Steel,1970,Very good,Men's watch/Unisex,36 mm,
1165,"Vacheron Constantin
(2023 Full Set) Perpetual Calendar Ultra Thin Skeleton","$232,145",Vacheron Constantin,,4300V/120G-B946,,,,2023,New,Men's watch/Unisex,,
17132,"Breitling Superocean Steelfish
Automatic A17390 Diamond Mens Luxury Watch Ivory Dial","$7,999",Breitling,Superocean Steelfish,A17390,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,44 mm,
200,"Breitling
Premier Chronograph 42mm","$7,005",Breitling,,AB0118371B1P2,,,,2023,Unworn,Men's watch/Unisex,42 mm,
8745,"Tudor Black Bay GMT
M79830RB-0010","$5,575",Tudor,Black Bay GMT,M79830RB-0010,,,,2023,Unworn,Men's watch/Unisex,41 mm,
1287,"Vacheron Constantin Overseas
42042","$21,738",Vacheron Constantin,Overseas,42042,Automatic,Yellow gold,Leather,Unknown,Very good,Men's watch/Unisex,37 mm,
12860,"Audemars Piguet Royal Oak Offshore Diver
NEW 2022 Royal Oak Offshore Diver","$33,500",Audemars Piguet,Royal Oak Offshore Diver,15720ST.OO.A027CA.01,,,,2022,New,Men's watch/Unisex,42 mm,
8350,"Cartier Tank Anglaise
良品内箱付き CARTIER カルティエ タンクアングレーズMM PGコンビ W5310043 クォーツ ボーイズ_713210 中古","$5,415",Cartier,Tank Anglaise,W5310043,Quartz,,,Unknown,Good,Men's watch/Unisex,26 mm,
9357,"TAG Heuer Formula 1 Lady
美品 TAG HEUER タグホイヤー フォーミュラ1 ダイヤベゼル WAH1218 クォーツ レディース_730083 中古","$1,544",TAG Heuer,Formula 1 Lady,,Quartz,Steel,Steel,Unknown,Good,Women's watch,35 mm,
