id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
4596,"Audemars Piguet
Vintage Solid Gold Moonphase Automatic Serviced 3 Year Warranty C11102 C11102","$6,542",Audemars Piguet,N/A,N/A,N/A,N/A,N/A,1986,Very good,Men's watch/Unisex,33 mm,N/A,6542.0
14808,"Seiko Presage
SPB219J1","$1,139",Seiko,Presage,SPB219J1,N/A,N/A,N/A,2022,Unworn,Men's watch/Unisex,42.2 mm,N/A,1139.0
12288,"Hublot Big Bang King
48mm - 322.PM.100.RX","$15,900",Hublot,Big Bang King,322.PM.100.RX,Automatic,Rose gold,Rubber,Unknown,Very good,N/A,48 mm,N/A,15900.0
9956,"Patek Philippe Nautilus
5726A-001","$93,500",Patek Philippe,Nautilus,5726A-001,N/A,N/A,N/A,2022 (Approximation),Very good,Men's watch/Unisex,40.5 mm,N/A,93500.0
10097,"Longines HydroConquest
L3.781.4.56.6","$1,937",Longines,HydroConquest,L3.781.4.56.6,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,41 mm,N/A,1937.0
472,"Patek Philippe Annual Calendar
5146G-001","$55,074",Patek Philippe,Annual Calendar,5146G-001,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,39 mm,N/A,55074.0
4331,"Patek Philippe Aquanaut
Unworn Aquanaut Luce Khaki Green | REF. 5267/200A | 38.8mm New Model | Stainless Steel | Box and Papers","$55,226",Patek Philippe,Aquanaut,N/A,Quartz,Steel,Rubber,Unknown,Unworn,Women's watch,38.8 mm,N/A,55226.0
9650,"Audemars Piguet
17504","$9,999",Audemars Piguet,N/A,N/A,N/A,N/A,N/A,Unknown,Good,Men's watch/Unisex,8S mm,N/A,9999.0
13017,"Omega Seamaster DeVille
De Ville 18K 750 gold 1963s original not renewed","$2,393",Omega,Seamaster DeVille,135.020 SC-62,N/A,N/A,N/A,1963,Good,Men's watch/Unisex,"34,5 x 41 mm",N/A,2393.0
3862,"IWC Portuguese Automatic
Portugieser Automatic Blue Dial Men's Watch","$7,780",IWC,Portuguese Automatic,IW358305,N/A,N/A,N/A,2023,New,Men's watch/Unisex,40.4 mm,N/A,7780.0
8851,"Cartier Tank Française
2300","$3,084",Cartier,Tank Française,2300,N/A,N/A,N/A,Unknown,Very good,Women's watch,20 x 25 mm,N/A,3084.0
5630,"Audemars Piguet Royal Oak Chronograph
26331ST.OO.1220ST.02","$54,000",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.02,N/A,N/A,N/A,2019,Very good,Men's watch/Unisex,41 mm,N/A,54000.0
2193,"Breitling Chronomat 36
u10380101a1u1","$8,900",Breitling,Chronomat 36,U10380101A1U1,Automatic,Steel,Steel,2023,New,Women's watch,36 mm,N/A,8900.0
37448,"Omega Seamaster Diver 300 M
42mm Diver 300m Co-Axial Master Chronometer Steel Blue Dial","$5,285",Omega,Seamaster Diver 300 M,210.30.42.20.03.001,Automatic,Steel,Steel,Unknown,Unworn,N/A,42 x 50 mm,N/A,5285.0
23448,N/A,"$1,907",Rolex,Cellini,3833,N/A,N/A,N/A,Unknown,N/A,N/A,31 mm,Fair,1907.0
5944,"IWC Pilot Mark
IW327007","$5,744",IWC,Pilot Mark,IW327007,N/A,N/A,N/A,2018 (Approximation),Very good,Men's watch/Unisex,40 mm,N/A,5744.0
4585,"Hublot Big Bang Unico
King Gold Jewellery","$77,635",Hublot,Big Bang Unico,441.OX.1181.RX.0904,N/A,N/A,N/A,2023 (Approximation),Unworn,Men's watch/Unisex,42 mm,N/A,77635.0
4911,"Tudor Black Bay Fifty-Eight
M79012M-0001","$4,388",Tudor,Black Bay Fifty-Eight,M79012M-0001,N/A,N/A,N/A,2022 (Approximation),Very good,Men's watch/Unisex,39 mm,N/A,4388.0
5308,"Zenith El Primero 36'000 VpH
Chronograph Steel","$5,463",Zenith,El Primero 36'000 VpH,N/A,Automatic,Steel,Leather,2017,Very good,Men's watch/Unisex,45 mm,N/A,5463.0
8506,"Seiko 5 Sports
SRPK29K1",$378,Seiko,5 Sports,SRPK29K1,N/A,N/A,N/A,2023,New,Men's watch/Unisex,38 mm,N/A,378.0
5803,"Breitling Superocean II 44
A17392 A17392D8/CA09 6659U","$4,025",Breitling,Superocean II 44,A17392,N/A,N/A,N/A,2019 (Approximation),Very good,Men's watch/Unisex,44 mm,N/A,4025.0
12607,"Breitling Bentley Flying B
Automatik Full-Set Mother Of Pearl MOP","$5,740",Breitling,Bentley Flying B,A16362,N/A,N/A,N/A,2011,Very good,Men's watch/Unisex,N/A,N/A,5740.0
356,"Sinn 103
Audi design Square Chronograph","$3,941",Sinn,103,N/A,N/A,N/A,N/A,2004 (Approximation),Good,Men's watch/Unisex,"38,4 x 36,8 mm",N/A,3941.0
61103,N/A,"$11,327",Rolex,Datejust 41,126300,N/A,Steel,Steel,2022,N/A,N/A,41 x 48 mm,Very good,11327.0
9889,"Hublot Classic Fusion Chronograph
521.NX.1171.RX | Box & Papers | 2019 | Mint","$7,936",Hublot,Classic Fusion Chronograph,521.NX.1171.RX,Automatic,Titanium,Rubber,2019,Very good,Men's watch/Unisex,45 mm,N/A,7936.0
37347,N/A,"$17,090",Rolex,Datejust 31,278241 MDJ,N/A,N/A,N/A,Unknown,N/A,N/A,31 mm,Unworn,17090.0
962,"Longines Conquest
Automatic Conquest","$3,803",Longines,Conquest,N/A,N/A,N/A,N/A,1956,Fair,Men's watch/Unisex,35 mm,N/A,3803.0
69279,N/A,"$58,753",Rolex,Sky-Dweller,326938,N/A,Yellow gold,Yellow gold,2022,N/A,N/A,42 mm,Unworn,58753.0
24922,N/A,"$47,734",Rolex,Daytona,116505,N/A,N/A,N/A,Unknown,N/A,N/A,40 mm,Very good,47734.0
10600,"Cartier Ronde Croisière de Cartier
カルティエ Cartier ロンドソロWSRN0019","$2,899",Cartier,Ronde Croisière de Cartier,WSRN0019,Quartz,Steel,N/A,Unknown,Unworn,Women's watch,29 mm,N/A,2899.0
3829,"Breitling Superocean Heritage
Men's A13313161C1S1 Superocean Heritage II Watch","$6,038",Breitling,Superocean Heritage,A13313161C1S1,Automatic,Steel,Rubber,Unknown,New,Men's watch/Unisex,44 mm,N/A,6038.0
1296,N/A,"$17,718",Rolex,Submariner Date,16803,N/A,N/A,N/A,Unknown,N/A,N/A,40 mm,Very good,17718.0
39269,N/A,"$6,386",Rolex,Explorer,114270,N/A,Steel,Steel,2001,N/A,N/A,36 mm,Good,6386.0
15471,N/A,"$6,647",Omega,Speedmaster Professional Moonwatch,310.30.42.50.01.001,N/A,Steel,Steel,2021,N/A,N/A,42 mm,Very good,6647.0
10493,N/A,"$28,213",Rolex,Datejust 36,126281RBR,N/A,Gold/Steel,Gold/Steel,2023 (Approximation),N/A,N/A,36 x 44 mm,Unworn,28213.0
31979,"Omega Seamaster
36mm Silver Dial Stainless Steel Quartz 2511.33.00 Gents Watch","$1,479",Omega,Seamaster,N/A,N/A,N/A,N/A,1999 (Approximation),Very good,Men's watch/Unisex,36 mm,N/A,1479.0
18005,"Omega Seamaster
Vintage Seamaster 600","$1,707",Omega,Seamaster,N/A,Manual winding,N/A,N/A,1966,Very good,Men's watch/Unisex,34 mm mm,N/A,1707.0
932,"Tudor
Oyster Royal (Serviced)","$2,316",Tudor,N/A,7934,N/A,N/A,N/A,1960 (Approximation),Very good,Men's watch/Unisex,34 x 40.8 mm,N/A,2316.0
34281,N/A,"$29,781",Rolex,Datejust 36,126283RBR Champagne Diamond Oyster,N/A,N/A,N/A,2023,N/A,N/A,36 mm,New,29781.0
37,"Vacheron Constantin Historiques
Ultra Thin 35.2mm",Price on request,Vacheron Constantin,Historiques,43043/000R-9592,Manual winding,Rose gold,Crocodile skin,2022,Unworn,Men's watch/Unisex,35.2 mm,N/A,0.0
1843,"Seiko Scuba
Automatic Diver's Ratio Black Leather SKX011J1-LS2 200M Men's Watch",$555,Seiko,N/A,SKX011J1,Automatic,Steel,Leather,Unknown,New,Men's watch/Unisex,42 mm,N/A,555.0
746,"Audemars Piguet Royal Oak
14790ST","$33,283",Audemars Piguet,Royal Oak,14790ST,N/A,N/A,N/A,2003,Very good,Men's watch/Unisex,36 mm,N/A,33283.0
41711,N/A,"$39,114",Rolex,Submariner Date,16808,N/A,N/A,Yellow gold,Unknown,N/A,N/A,40 mm,Very good,39114.0
3969,"Tudor Royal
Automatic Black Dial Stainless Unisex Watch","$3,681",Tudor,Royal,28503-0004,N/A,N/A,N/A,2022 (Approximation),Unworn,N/A,N/A,N/A,3681.0
1750,"Vacheron Constantin
Vintage Automatic ref 7390 art Vc45","$4,319",Vacheron Constantin,N/A,7390,N/A,N/A,N/A,Unknown,Very good,N/A,32 mm,N/A,4319.0
16271,N/A,"$13,932",Rolex,Lady-Datejust,279174,N/A,Gold/Steel,Steel,2023,N/A,N/A,28 mm,New,13932.0
13298,"Breitling Top Time
Triumph A23311 Unworn New March 2022","$7,247",Breitling,Top Time,A23311121C1X1,Automatic,Steel,N/A,2022,New,Men's watch/Unisex,41 mm,N/A,7247.0
773,"Hublot Classic Fusion Chronograph
Blue Chronograph 42mm 541.NX.7170.LR","$8,438",Hublot,Classic Fusion Chronograph,541.NX.7170.LR,N/A,N/A,N/A,2022,New,Men's watch/Unisex,42 mm,N/A,8438.0
53627,N/A,"$46,499",Rolex,Day-Date,N/A,N/A,Rose gold,Rose gold,2020,N/A,N/A,40 mm,Very good,46499.0
9034,"IWC Da Vinci Chronograph
38783: IWC Da Vinci Chronograph Ref. IW376403 Automatic","$4,800",IWC,Da Vinci Chronograph,IW376403,N/A,N/A,N/A,2007,N/A,N/A,43 x 44 mm,N/A,4800.0
28165,N/A,"$11,850",Rolex,Sea-Dweller Deepsea,116660,N/A,Steel,Steel,2009,N/A,N/A,44 mm,Very good,11850.0
2708,"Omega Speedmaster '57
332.10.41.51.11.001","$10,690",Omega,Speedmaster '57,332.10.41.51.11.001,Manual winding,Steel,Steel,2023,New,Men's watch/Unisex,40.5 mm,N/A,10690.0
8466,"TAG Heuer Carrera
YEAR OF THE RABBIT","$6,331",TAG Heuer,Carrera,N/A,N/A,N/A,N/A,2022,Very good,Men's watch/Unisex,44 mm,N/A,6331.0
7523,"Tudor Black Bay Fifty-Eight
Edelstahl Automatik Herrenuhr Ref. 79030N","$3,612",Tudor,Black Bay Fifty-Eight,79030N-0001,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,39 mm,N/A,3612.0
7636,"Tudor Black Bay Fifty-Eight
925 - M79010SG-0001 - SILVER WATCH","$5,290",Tudor,Black Bay Fifty-Eight,M79010SG-0001,N/A,N/A,N/A,2022,New,Men's watch/Unisex,39 mm,N/A,5290.0
4660,"Breitling Superocean 46
 Automatic 46 Black Steel mit Box und Papiere","$4,198",Breitling,Superocean 46,M17368D71C1S1,N/A,N/A,N/A,2020,Very good,Men's watch/Unisex,46 mm,N/A,4198.0
11428,N/A,"$10,258",Rolex,Explorer II,16570,N/A,Steel,Steel,2000,N/A,N/A,40 mm,Good,10258.0
67919,N/A,"$90,377",Rolex,Day-Date 40,228206,N/A,Platinum,Platinum,2022,N/A,N/A,40 x 48 mm,Unworn,90377.0
4484,"Patek Philippe Gondolo
10 Day Power Reserve SERVICED FULL SET Manta Ray","$35,000",Patek Philippe,Gondolo,5100J-001,Manual winding,Yellow gold,N/A,2000,Very good,Men's watch/Unisex,N/A,N/A,35000.0
502,"Breitling Chronomat
32 A77310101A3A1","$4,647",Breitling,Chronomat,A77310101A3A1,N/A,N/A,N/A,2023,New,Women's watch,32 mm,N/A,4647.0
10621,"Breitling Chronomat Evolution
A13356 クロノマット エボリューション クロノグラフ 自動巻き メンズ 742166 中古","$1,978",Breitling,Chronomat Evolution,A13356,Automatic,Steel,Steel,Unknown,Fair,Men's watch/Unisex,43 mm,N/A,1978.0
999,"Omega Constellation
Co-axial Master","$7,570",Omega,Constellation,131.23.39.20.08.001,Automatic,Gold/Steel,N/A,2022,New,Men's watch/Unisex,39 mm,N/A,7570.0
